time,pos_x,pos_y,vel_x,vel_y
8775.000000,1240742.858423,-6234188.168141,7809.844381,1083.593235
8776.000000,1248550.777222,-6233094.899703,7807.918799,1093.268438
8777.000000,1256356.758739,-6231991.959844,7805.981517,1102.939860
8778.000000,1264160.791282,-6230879.352357,7804.032543,1112.607487
8779.000000,1271962.863168,-6229757.081050,7802.071886,1122.271307
8780.000000,1279762.962720,-6228625.149745,7800.099552,1131.931305
8781.000000,1287561.078270,-6227483.562274,7798.115550,1141.587470
8782.000000,1295357.198159,-6226332.322486,7796.119889,1151.239788
8783.000000,1303151.310734,-6225171.434240,7794.112575,1160.888246
8784.000000,1310943.404353,-6224000.901408,7792.093618,1170.532831
8785.000000,1318733.467378,-6222820.727878,7790.063026,1180.173530
8786.000000,1326521.488184,-6221630.917548,7788.020805,1189.810330
8787.000000,1334307.455150,-6220431.474330,7785.966966,1199.443218
8788.000000,1342091.356664,-6219222.402148,7783.901515,1209.072181
8789.000000,1349873.181124,-6218003.704941,7781.824460,1218.697207
8790.000000,1357652.916935,-6216775.386660,7779.735811,1228.318281
8791.000000,1365430.552509,-6215537.451269,7777.635574,1237.935392
8792.000000,1373206.076268,-6214289.902743,7775.523759,1247.548526
8793.000000,1380979.476641,-6213032.745072,7773.400373,1257.157671
8794.000000,1388750.742066,-6211765.982259,7771.265425,1266.762813
8795.000000,1396519.860988,-6210489.618318,7769.118922,1276.363940
8796.000000,1404286.821861,-6209203.657279,7766.960873,1285.961040
8797.000000,1412051.613147,-6207908.103180,7764.791286,1295.554098
8798.000000,1419814.223317,-6206602.960077,7762.610170,1305.143103
8799.000000,1427574.640849,-6205288.232035,7760.417532,1314.728042
8800.000000,1435332.854230,-6203963.923134,7758.213381,1324.308902
8801.000000,1443088.851955,-6202630.037464,7755.997725,1333.885669
8802.000000,1450842.622528,-6201286.579131,7753.770573,1343.458333
8803.000000,1458594.154459,-6199933.552252,7751.531931,1353.026879
8804.000000,1466343.436270,-6198570.960957,7749.281810,1362.591295
8805.000000,1474090.456487,-6197198.809388,7747.020217,1372.151569
8806.000000,1481835.203648,-6195817.101700,7744.747161,1381.707688
8807.000000,1489577.666297,-6194425.842061,7742.462649,1391.259639
8808.000000,1497317.832987,-6193025.034652,7740.166690,1400.807409
8809.000000,1505055.692280,-6191614.683666,7737.859293,1410.350986
8810.000000,1512791.232746,-6190194.793308,7735.540466,1419.890358
8811.000000,1520524.442963,-6188765.367796,7733.210217,1429.425512
8812.000000,1528255.311516,-6187326.411362,7730.868554,1438.956435
